id,position,goal,steps,moves,distance,mate,forcing,nonforcing,winning,threat_ignored,threat_at_line_end,quiet,blocks,decisive_steps,root_pieces
85460fefff69,21061007090b2:610002108b2249,win,8,15,15,mate in 8,7,1,1,0,0,0,0,8,28
bd6ac1ce992c,4114000055424d:400555400b412,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,28
887c2e958e23,a0800802c8c45:800e0942512a,win,5,9,11,mate in 6,2,3,1,0,0,2,2,3,27
242e568cbaec,21122090809038:10000081067106c1,win,5,9,9,mate in 5,4,1,1,0,0,0,0,5,27
bc02c01c0776,4802180e180a8:80210084000c1a45,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
30be30effd75,4301802883218:10080084305408c5,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
a675c73c4024,9080c92189014:9000901108050a89,win,6,11,19,mate in 10,1,5,1,0,0,4,4,2,28
b1982bd6e46d,10985403458:109001010198303,win,6,11,11,mate in 6,1,5,1,0,0,4,4,2,26
13145ef0823b,1081020110b82019:30906201d2a0,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,28
536b435e2574,2020340112a092:80128002a024012d,win,5,9,9,mate in 5,3,2,1,1,0,0,0,5,27
1abf2b4e8573,1e401c000850a:c0080008240b7001,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
c499a3faaafd,90040a0093a05:800080095240c0c8,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,26
6eb922bdbbad,120082502b10a:2008840190094481,win,4,7,7,mate in 4,2,2,1,1,0,0,0,4,26
90da96619876,120082d02b10a:2008840190094c81,win,4,7,7,mate in 4,2,2,1,1,0,0,0,4,28
b22cab3c347f,201428748b:82e0878824,win,3,5,9,mate in 5,1,2,1,1,0,0,0,3,26
2e5424dc569f,100094230d032:800880109009220d,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
dd8ab7567ea1,100800a929a46:1043904d0099,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
fbd9faf4cd6a,1940908029045:8080294490c8a,win,9,17,33,mate in 17,3,6,1,0,0,5,4,5,27
0e2c8abaaa0d,2202000246984a:22902027a5,win,4,7,7,mate in 4,3,1,1,0,0,0,0,4,26
341504999ced,14404050199c2:8041c0c6440d,win,4,7,7,mate in 4,3,1,1,0,0,0,1,3,28
09f32d3e8366,2004292645064:405200400aa60b,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
0a8863ff30ed,190c180a41081:908000001849886c,win,7,13,33,mate in 17,3,4,1,0,0,3,5,2,27
20123464b3a8,988000802d02e:8802002b80292801,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
618ceb91dd17,2901a4918a:10011000b0092825,win,11,21,23,mate in 12,1,10,1,0,0,9,9,2,26
5425e0c6ed0e,2081000509180da:248024a7a21,win,4,7,7,mate in 4,2,2,1,1,0,0,0,4,28
54b456c8311d,23800012218238:90001223800a1007,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
8aa95ddbc5e9,100801003210386c:1008090cc791,win,8,15,31,mate in 16,3,5,1,0,0,4,6,2,28
3001bc18baa7,20320a1d52:200034080460a229,win,9,17,21,mate in 11,2,7,1,0,0,6,4,5,27
52caf94d0bf9,3104080c4132c:10400083100384c3,win,3,5,5,mate in 3,0,3,1,1,0,1,0,3,28
f11acb1de4c8,11828080690ac:8800390294903,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,28
49c332c64b76,30090400140d880c:b00da0003681,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,28
42323e024ddf,1100913504058:18411040099301,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
1f3284503fa2,40104029048d20c:2020506072443,win,7,13,31,mate in 16,2,5,0,0,1,4,4,3,28
82445d8c60e1,1048004a2392a:8000989098691,win,4,7,7,mate in 4,3,1,1,0,0,0,1,3,28
bbb7b64a2cd7,1982001602850a:41981191215,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
cc2a2603af37,102801001013150a:103a0528c031,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
d51da28297bc,80308004884b00c:1003900b4883,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
994ddcc8cfac,81000015029568:1000118100812a83,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,26
7f3388d4dadd,83504309405:80058400880d0838,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
f24db4d2fe1d,a0880020096c18:800000a089a081a3,win,14,27,37,mate in 19,3,11,1,0,0,10,6,8,27
ef02a0c09f78,210044a001c047:802101643538,win,4,7,7,mate in 4,3,1,1,0,0,0,1,3,27
243e009c476e,d0110991588:100110108d008835,win,3,5,5,mate in 3,2,1,1,0,0,0,1,2,28
892bd261452a,1081049b0028043:8001a10001493308,win,9,17,31,mate in 16,1,8,0,0,1,7,2,7,28
8ad630ac1113,29003001a5085:100100009c058c1a,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
c054a9ce0f06,5000086c185c8:8000804501061a07,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,28
820b2db4596b,118010c04c709:1008000c90093826,win,7,13,17,mate in 9,1,6,0,0,1,5,5,2,28
97dd523365e4,102801aa08a0a:12081009000930a1,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
4c829f949b4e,200004100ba34a:106280741035,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
39963ad1ab64,10001e14085cc:2080218808896801,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
109cf49c9b39,10510909810a8:8008800905018511,win,3,5,5,mate in 3,2,1,1,0,0,0,1,2,26
9e46e719c18e,108310826b1:10008a22994e,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
3b256d3f8cef,100a0004a021a905:8000900a110e102a,win,4,7,7,mate in 4,3,1,1,0,0,0,0,4,28
b1e8d32e32cf,194000d801c205:4000081901181d18,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
24e5a53039fc,990021401254a:22009a04ad011,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,28
